시도별,전국
2016.01,95.232
2016.02,95.64
2016.03,95.393
2016.04,95.573
2016.05,95.63
2016.06,95.611
2016.07,95.431
2016.08,95.677
2016.09,96.247
2016.1,96.379
2016.11,96.237
2016.12,96.342
2017.01,97.366
2017.02,97.632
2017.03,97.565
2017.04,97.442
2017.05,97.546
2017.06,97.338
2017.07,97.499
2017.08,98.058
2017.09,98.172
2017.1,98.077
2017.11,97.347
2017.12,97.698
2018.01,98.106
2018.02,98.855
2018.03,98.751
2018.04,98.931
2018.05,98.979
2018.06,98.779
2018.07,98.59
2018.08,99.462
2018.09,100.221
2018.1,100.041
2018.11,99.33
2018.12,98.988
2019.01,98.884
2019.02,99.311
2019.03,99.121
2019.04,99.481
2019.05,99.652
2019.06,99.491
2019.07,99.187
2019.08,99.425
2019.09,99.794
2019.1,100.041
2019.11,99.481
2019.12,99.719
2020.01,100.09
2020.02,100.16
2020.03,99.94
2020.04,99.5
2020.05,99.44
2020.06,99.71
2020.07,99.63
2020.08,100.19
2020.09,100.74
2020.1,100.18
2020.11,100.09
2020.12,100.33
